,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration
8221,18221,1,2,1,2,1,1,450
8222,18222,2,6,1,1,0,6,495
8223,18223,1,4,1,2,0,2,455
8224,18224,1,6,3,2,0,4,510
8225,18225,1,4,1,1,2,1,375
8226,18226,2,1,6,1,0,2,340
8227,18227,1,1,6,2,1,2,550
8228,18228,1,6,1,1,0,2,510
8229,18229,2,6,2,2,0,1,540
8230,18230,2,5,1,2,0,1,565
8231,18231,1,7,3,2,0,6,480
8232,18232,1,1,6,2,2,3,520
8233,18233,2,3,1,2,0,1,480
8234,18234,1,2,1,1,0,3,485
8235,18235,1,2,1,2,0,1,450
8236,18236,2,6,5,2,0,4,480
8237,18237,1,4,6,1,0,1,600
8238,18238,1,5,1,2,0,2,540
8239,18239,1,5,1,1,0,2,360
8240,18240,1,6,6,1,0,6,480
8241,18241,1,7,3,2,0,4,600
8242,18242,1,2,1,1,1,2,490
8243,18243,1,3,2,2,2,1,515
8244,18244,1,4,1,1,0,1,360
8245,18245,2,2,1,2,2,2,540
8246,18246,1,2,6,2,0,2,385
8247,18247,1,7,1,1,0,4,500
8248,18248,1,4,6,1,0,5,450
8249,18249,1,6,5,1,0,4,540
8250,18250,1,4,1,2,0,2,450
8251,18251,1,4,1,2,0,2,360
8252,18252,1,3,2,2,0,2,540
8253,18253,1,6,1,2,0,3,555
8254,18254,1,3,1,2,2,1,495
8255,18255,1,3,6,1,0,2,420
8256,18256,3,4,1,2,1,1,715
8257,18257,1,4,6,1,0,1,660
8258,18258,3,3,1,2,0,1,690
8259,18259,1,2,6,2,0,2,390
8260,18260,1,2,1,2,0,2,535
8261,18261,1,2,2,2,3,1,525
8262,18262,1,2,6,2,0,2,495
8263,18263,2,7,1,1,0,1,640
8264,18264,2,2,6,2,0,2,535
8265,18265,1,6,1,2,0,4,530
8266,18266,1,5,5,1,0,2,540
8267,18267,1,5,1,1,0,4,300
8268,18268,1,2,6,2,0,2,725
8269,18269,2,7,1,1,0,6,480
8270,18270,3,1,4,2,0,6,360
8271,18271,1,5,1,2,0,6,630
8272,18272,1,3,1,2,1,1,600
8273,18273,1,2,6,1,1,6,590
8274,18274,1,3,1,1,0,2,210
8275,18275,1,5,1,2,0,3,435
8276,18276,1,1,6,2,0,2,420
8277,18277,2,5,1,2,0,4,510
8278,18278,1,5,1,1,0,3,525
8279,18279,1,5,1,1,0,5,420
8280,18280,1,3,1,2,3,1,480
8281,18281,2,5,5,1,0,6,655
8282,18282,2,6,6,2,0,4,465
8283,18283,2,4,2,1,0,2,480
8284,18284,1,6,3,2,0,4,570
8285,18285,1,4,1,2,0,6,600
8286,18286,1,1,6,1,0,2,780
8287,18287,1,5,6,2,0,6,480
8288,18288,1,3,1,2,3,1,305
8289,18289,1,2,1,1,1,2,405
8290,18290,2,6,6,2,0,5,570
8291,18291,1,2,6,1,0,1,505
8292,18292,1,1,6,2,0,2,630
8293,18293,1,3,6,2,0,1,440
8294,18294,2,6,1,1,0,2,285
8295,18295,1,1,6,2,0,2,535
8296,18296,1,3,1,2,1,3,500
8297,18297,1,6,1,2,0,3,620
8298,18298,2,6,3,2,0,2,495
8299,18299,2,3,6,1,0,1,420
8300,18300,1,3,1,2,0,4,470
8301,18301,1,3,1,1,2,1,380
8302,18302,1,3,1,2,3,1,450
8303,18303,1,1,6,1,0,1,390
8304,18304,1,6,1,2,0,2,525
8305,18305,1,6,1,1,0,3,780
8306,18306,1,4,1,1,1,1,560
8307,18307,1,5,2,2,0,3,510
8308,18308,1,3,6,2,0,2,540
8309,18309,3,2,2,1,1,1,615
8310,18310,2,5,2,2,0,1,690
8311,18311,2,1,6,2,0,3,585
8312,18312,1,2,6,1,0,1,360
8313,18313,2,5,1,2,0,6,560
8314,18314,2,7,3,2,0,4,540
8315,18315,1,3,1,1,0,1,345
8316,18316,2,4,2,2,0,3,560
8317,18317,1,7,1,1,0,6,510
8318,18318,2,5,1,2,0,4,630
8319,18319,1,2,6,1,0,1,480
8320,18320,1,2,2,2,0,2,460
8321,18321,1,2,6,2,0,3,450
8322,18322,2,5,1,2,0,3,690
8323,18323,3,6,3,2,0,1,450
8324,18324,1,3,1,2,2,1,540
8325,18325,1,7,2,1,0,6,390
8326,18326,1,4,1,2,0,2,360
8327,18327,1,5,1,2,0,2,430
8328,18328,2,3,1,2,0,3,570
8329,18329,1,7,3,1,0,6,510
8330,18330,1,5,3,2,0,4,480
8331,18331,1,1,6,2,1,1,660
8332,18332,1,4,1,1,0,4,520
8333,18333,1,5,1,2,0,5,720
8334,18334,1,3,5,2,0,1,715
8335,18335,1,3,2,1,3,1,540
8336,18336,1,5,1,2,0,2,220
8337,18337,1,6,5,2,0,3,540
8338,18338,1,2,2,1,1,2,585
8339,18339,1,7,1,2,0,4,540
8340,18340,1,4,1,2,0,2,510
8341,18341,1,3,1,1,2,1,465
8342,18342,1,5,6,1,0,6,300
8343,18343,1,5,6,2,0,4,570
8344,18344,2,6,1,1,0,3,570
8345,18345,2,6,1,1,0,6,540
8346,18346,1,6,3,1,0,6,645
8347,18347,1,6,1,2,0,6,630
8348,18348,1,6,2,2,0,4,440
8349,18349,1,5,5,2,0,3,540
8350,18350,1,1,6,1,0,2,470
8351,18351,1,3,2,2,0,1,615
8352,18352,1,7,6,1,0,6,510
8353,18353,1,3,1,1,3,1,390
8354,18354,1,4,2,2,0,3,560
8355,18355,1,6,3,2,0,1,575
8356,18356,3,7,3,1,0,3,450
8357,18357,1,5,1,1,0,3,570
8358,18358,1,5,1,2,0,1,815
8359,18359,1,1,6,1,0,2,630
8360,18360,2,1,6,1,0,2,480
8361,18361,1,7,3,2,0,6,630
8362,18362,2,6,3,2,0,4,660
8363,18363,1,5,5,2,0,1,450
8364,18364,1,5,6,2,0,2,450
8365,18365,1,6,1,2,0,6,540
8366,18366,1,4,6,2,0,2,380
8367,18367,1,6,1,2,0,2,440
8368,18368,3,5,6,1,0,1,540
8369,18369,1,4,2,2,0,1,480
8370,18370,1,1,6,2,2,4,710
8371,18371,1,6,5,2,0,4,495
8372,18372,1,5,1,1,0,1,570
8373,18373,2,4,2,2,0,1,600
8374,18374,2,3,2,2,2,1,665
8375,18375,1,3,1,1,0,2,360
8376,18376,1,5,6,1,0,6,510
8377,18377,1,3,1,2,2,1,375
8378,18378,1,6,5,2,0,2,630
8379,18379,2,7,1,2,0,3,580
8380,18380,1,1,6,2,1,2,430
8381,18381,1,4,1,2,0,6,390
8382,18382,1,5,1,1,0,4,690
8383,18383,1,5,5,2,0,4,615
8384,18384,1,6,1,1,0,5,480
8385,18385,1,4,1,1,0,2,540
8386,18386,1,1,6,2,0,6,1110
8387,18387,1,6,1,1,0,6,410
8388,18388,1,5,5,1,0,2,690
8389,18389,1,3,2,2,2,2,570
8390,18390,1,7,3,2,0,6,600
8391,18391,1,6,2,1,0,6,560
8392,18392,1,3,1,2,2,1,460
8393,18393,1,3,2,2,0,1,480
8394,18394,1,5,6,1,0,1,510
8395,18395,1,5,1,2,0,3,555
8396,18396,1,4,1,2,0,2,360
8397,18397,1,7,1,1,0,6,580
8398,18398,2,6,3,2,0,6,525
8399,18399,1,3,6,2,0,2,435
8400,18400,1,4,2,2,0,2,480
8401,18401,2,5,1,1,0,6,450
8402,18402,2,3,4,1,1,1,690
8403,18403,2,2,6,2,0,2,600
8404,18404,1,7,3,2,0,6,520
8405,18405,2,6,3,2,0,4,440
8406,18406,1,4,1,1,0,3,540
8407,18407,1,5,3,2,0,1,450
8408,18408,1,1,6,2,1,3,400
8409,18409,1,3,1,1,3,2,595
8410,18410,1,6,1,2,0,5,580
8411,18411,1,4,1,1,2,1,300
8412,18412,2,2,6,2,0,2,750
8413,18413,1,5,1,2,0,3,470
8414,18414,1,6,1,2,0,2,460
8415,18415,1,5,2,2,0,6,460
8416,18416,1,4,2,2,0,2,420
8417,18417,2,6,1,2,0,4,435
8418,18418,2,3,1,1,1,2,545
8419,18419,2,6,1,2,0,5,655
8420,18420,1,3,2,1,0,1,450
8421,18421,1,3,1,2,2,1,420
8422,18422,2,6,3,2,0,6,480
8423,18423,1,5,5,1,0,6,445
8424,18424,2,5,2,2,0,1,570
8425,18425,1,2,1,1,0,1,520
8426,18426,1,7,3,2,0,6,510
8427,18427,1,6,5,1,0,1,480
8428,18428,1,5,4,2,0,1,630
8429,18429,1,7,1,2,0,2,600
8430,18430,1,4,2,1,0,2,480
8431,18431,1,3,1,2,2,1,905
8432,18432,1,5,1,1,0,1,345
8433,18433,1,6,3,1,0,3,480
8434,18434,1,2,6,2,0,1,435
8435,18435,1,3,4,2,0,4,330
8436,18436,1,6,1,2,0,4,840
8437,18437,1,3,1,1,2,2,540
8438,18438,2,2,1,2,1,2,540
8439,18439,2,7,3,1,0,5,630
8440,18440,1,1,6,2,0,2,810
8441,18441,1,1,6,1,2,3,690
8442,18442,1,5,1,1,0,2,570
8443,18443,1,2,6,1,0,1,480
8444,18444,2,3,1,1,2,2,525
8445,18445,1,6,6,1,0,2,390
8446,18446,3,7,6,1,0,3,720
8447,18447,1,5,6,2,0,2,420
8448,18448,1,5,1,1,0,4,540
8449,18449,1,5,3,2,0,1,361
8450,18450,1,7,6,2,0,6,510
8451,18451,1,3,6,1,0,2,540
8452,18452,1,4,6,1,0,6,540
8453,18453,1,5,6,1,0,3,585
8454,18454,1,3,4,1,0,2,565
8455,18455,1,4,1,2,0,1,660
8456,18456,2,4,6,1,0,5,630
8457,18457,3,4,2,2,1,1,600
8458,18458,1,2,1,2,2,3,685
8459,18459,1,6,1,1,0,6,180
8460,18460,2,4,1,2,0,1,540
8461,18461,1,2,6,1,0,1,310
8462,18462,1,1,6,1,2,2,695
8463,18463,1,7,1,1,0,2,540
8464,18464,1,6,3,2,0,3,420
